"Citation Key","First Author","Other Authors","Affiliation","Title","Year","Publisher / Journal","Volume / Issue","Pages","Extra Notes","ISBN"
"Santosa ‘86","F. Santosa","W. W. Symes",,"Linear Inversion of Band-Limited Reflection Seismograms","1986","SIAM Journal on Scientific and Statistical Computing","7(4)","1307–1330","SIAM",""
"Efron ‘04","B. Efron","T. Hastie; I. Johnstone; R. Tibshirani",,"Least angle regression","2004","The Annals of statistics","32(2)","407-499","",""
"Zou ’05","H. Zou","T. Hastie",,"Regularization and variable selection via the elastic net","2005","Journal of the royal statistical society: series B (statistical methodology)","67(2)","301-320","",""
"Breiman '95","L. Breiman","",,"Better Subset Regression using the Nonnegative Garrote","1995","Technometrics","37(4)","373-384","",""
"Xiong ‘10","S. Xiong","",,"Some Notes on the Nonnegative Garrote","2010","Technometrics","52(3)","349-361","",""
"Robbins ‘51","H. Robbins","S. Monro",,"A stochastic approximation method","1951","The annals of mathematical statistics","","400-407","",""
"Burkov ‘19","A. Burkov","",,"The Hundred-Page Machine Learning Book","2019","","","","",""
"Kochenderfer ‘19","M. J. Kochenderfer","T. A. Wheeler",,"Algorithms for optimization","2019","MIT Press","","","",""
"Kingma ‘14","D. P. Kingma","J. Ba",,"Adam: A method for stochastic optimization","2014","arXiv preprint arXiv:1412.6980","","","",""
"Brownlee ‘16","J. Brownlee","",,"Master Machine Learning Algorithms: discover how they work and implement them from scratch","2016","Machine Learning Mastery","","","",""
"Bayes ’63","T. Bayes","",,"An essay towards solving a problem in the doctrine of chances","1763","Philosophical Transactions of the Royal Society of London","","53, 370–418","",""
"Cover ’67","T. Cover","P. Hart",,"Nearest neighbor pattern classification","1967","IEEE Transactions on Information Theory","13(1)","21-27","",""
"Voronoi ’08","G. Voronoi","",,"Nouvelles applications des paramètres continus à la théorie des formes quadratiques. Deuxième mémoire. Recherches sur les paralléloèdres primitifs","1908","Journal für die Reine und Angewandte Mathematik","134","198-287","",""
"Bentley ’75","J. L. Bentley","",,"Multidimensional binary search trees used for associative searching","1975","Communications of the ACM","18(9)","509-517","",""
"Indyk ’98","P. Indyk","R. Motwani",,"Approximate nearest neighbors: Towards removing the curse of dimensionality","1998","Proceedings of the Thirtieth Annual ACM Symposium on Theory of Computing (STOC '98)","","604–613","",""
"Cortes ‘95","C. Cortes","V. Vapnik",,"Support-Vector Networks","1995","","","","",""
"Bordes ‘05","A. Bordes","S. Ertekin; J. Weston; L. Bottou",,"Fast kernel classifiers with online and active learning","2005","Journal of Machine Learning Research","6(Sep)","1579-1619","",""
"Scholkopf ’01","B. Scholkopf","A. J. Smola",,"Learning with kernels: support vector machines, regularization, optimization, and beyond","2001","MIT press","","","",""
"Kass ‘80","Gordon V. Kass","",,"An Exploratory Technique for Investigating Large Quantities of Categorical Data","1980","Applied Statistics","Vol. 29, No. 2","pp. 119–127","",""
"Quinlan ’94","J. R. Quinlan","",,"C4. 5: Programs for Machine Learning","1994","Elsevier","","","",""
"Breimanetal ’84","L. Breimanetal","",,"Classification and Regression Trees","1984","Wadsworth, Belmont","","","",""
"Breiman ’96","L. Breiman","",,"Bagging predictors","1996","Machine Learning","24(2)","123-140","",""
"Schapire ’90","R. E. Schapire","",,"The strength of weak learnability","1990","Machine Learning","5(2)","197-227","",""
"Wolpert ’92","D. H. Wolpert","",,"Stacked generalization","1992","Neural networks","5(2)","241-259","",""
"Breiman ’05","L. Breiman","",,"Random Forests","2001","Machine learning","45(1)","5-32","",""
"Freund ’95","Y. Freund","R. E. Schapire",,"A Desicion-Theoretic Generalization of On-line Learning and an Application to Boosting","1995","In European conference on computational learning theory","","pp. 23-37","Springer, Berlin, Heidelberg",""
"Friedman ’01","J. H. Friedman","",,"Greedy Function Approximation: A Gradient Boosting Machine","2001","Annals of statistics","","1189-1232","",""
"Si ’17","S. Si","H. Zhang; S. S. Keerthi; D. Mahajan; I. S. Dhillon; C. J. Hsieh",,"Gradient boosted decision trees for high dimensional sparse output","2017","In International conference on machine learning","","pp. 3182-3190","PMLR",""
"Mason ’99","L. Mason","J. Baxter; P. Bartlett; M. Frean",,"Boosting algorithms as gradient descent in function space","1999","NIPS","","","",""
"Chen ’15","T. Chen","T. He; M. Benesty; V. Khotilovich; Y. Tang; H. Cho",,"XGBoost: extreme gradient boosting","2015","R package version 0.4-2","1(4)","","",""
"Ke ’17","G. Ke","Q. Meng; T. Finley; T. Wang; W. Chen; W. Ma; T. Y. Liu",,"LightGBM: A highly efficient gradient boosting decision tree","2017","Advances in neural information processing systems","30","3146-3154","",""
"Prokhorenkova ’18","L. Prokhorenkova","G. Gusev; A. Vorobev; A. V. Dorogush; A. Gulin",,"CatBoost: unbiased boosting with categorical features","2018","Advances in Neural Information Processing Systems","31","","",""
"Boehmke ’20","B. Boehmke","B. M. Greenwell",,"Hands-on machine learning with R","2019","CRC Press","","","",""
"Keshavarz ’21","H. Keshavarz","M. S. Abadeh; R. Rawassizadeh",,"SEFR: A fast linear-time classifier for ultra-low power devices","2021","arXiv preprint","","arXiv:2006.04620","",""
"McCulloch ‘43","W. S. McCulloch","W. Pitts",,"A logical calculus of the ideas immanent in nervous activity","1943","The bulletin of mathematical biophysics","5(4)","115-133","",""
"Rosenblatt ’58","F. Rosenblatt","",,"The perceptron: a probabilistic model for information storage and organization in the brain","1958","Psychological review","65(6)","386","",""
"Minsky ‘69","M. Minsky","S. A. Papert",,"Perceptrons: An introduction to computational geometry","1969","MIT press","","","",""
"Ciresan ’11","D. C. Ciresan","U. Meier; J. Masci; L. M. Gambardella; J. Schmidhuber",,"Flexible, High Performance Convolutional Neural Networks for Image Classification","2011","International Joint Conference on Artificial Intelligence (IJCAI-2011)","","","",""
"Krizhevsky ‘12","A. Krizhevsky","I. Sutskever; G. E. Hinton",,"Imagenet classification with deep convolutional neural networks","2012","In Advances in neural information processing systems","","pp. 1097-1105","",""
"Aggarwal '18","C. C. Aggarwal","",,"Neural networks and deep learning","2018","Springer","","","",""
"Hofstadter ‘79","D. R. Hofstadter","",,"Gödel, Escher, Bach: an eternal golden braid","1979","Basic books","Vol. 13","","New York",""
"Rasheed ’16","T. Rasheed","",,"Make Your Own Neural Network","2016","CreateSpace Independent Publishing Platform","","","",""
"Chollet ’18","F. Chollet","",,"Deep Learning with Python","2017","Manning Publications CO","","","",""
"Nair ‘10","V. Nair","G. E. Hinton",,"Rectified Linear Units Improve Restricted Boltzmann Machines","2010","In ICML","","","",""
"Maas ‘13","A. L. Maas","A. Y. Hannun; A. Y. Ng",,"Rectifier Nonlinearities Improve Neural Network Acoustic Models","2013","In Proc. icml","Vol. 30, No. 1","p. 3","",""
"Hellinger ’09","E. Hellinger","",,"Neue Begründung der Theorie quadratischer Formen von unendlichvielen Veränderungen","1909","Journal für die reine und angewandte Mathematik","136","210–271","(in German)",""
"Bharath '99","B. Bharath","V. S. Borkar",,"Stochastic Approximation Algorithms: Overview and Recent Trends","1999","Sadhana","24(4-5)","425-452","",""
"Polyak ‘64","B. T. Polyak","",,"Some Methods of Speeding up the Convergence of Iteration Methods","1964","USSR Computational Mathematics and Mathematical Physics","4(5)","1-17","",""
"Nesterov ‘83","Y. Nesterov","",,"A Method of Solving a Convex Programming Problem with Convergence Rate O(1/sqr(k))","1983","Soviet Mathematics Doklady","27","372–376","",""
"Sutskever ’13","I. Sutskever","J. Martens; G. Dahl; G. E. Hinton",,"On the Importance of Initialization and Momentum in Deep Learning","2013","In International Conference on Machine Learning","","pp. 1139-1147","",""
"Duchi '11","J. Duchi","E. Hazan; Y. Singer",,"Adaptive Subgradient Methods for Online Learning and Stochastic Optimization","2011","Journal of machine learning research","12(7)","","",""
"Zeiler ‘12","M. D. Zeiler","",,"Adadelta: an Adaptive Learning Rate Method","2012","arXiv preprint","","arXiv:1212.5701","",""
"Hinton ‘12","G. Hinton","N. Srivastava; K. Swersky",,"RMSprop: Divide the Gradient by a Running Average of its Recent Magnitude","2012","Neural Networks for Machine Learning","Lecture 6e","","",""
"Riedmiller ‘93","M. Riedmiller","H. Braun",,"A Direct Adaptive Method for Faster Backpropagation Learning: The RPROP algorithm","1993","In IEEE International Conference on Neural Networks","","pp. 586-591","",""
"Schmidt ’20","R. M. Schmidt","F. Schneider; P. Hennig",,"Descending through a Crowded Valley-Benchmarking Deep Learning Optimizers","2020","arXiv preprint","","arXiv:2007.01547","",""
"Chen ‘19","J. Chen","A. Kyrillidis",,"Decaying Momentum Helps Neural Network Training","2019","arXiv preprint","","arXiv:1910.04952","",""
"Zhang ‘17","J. Zhang","I. Mitliagkas",,"Yellowfin and the Art of Momentum Tuning","2017","arXiv preprint","","arXiv:1706.03471","",""
"Kelley ’60","H. J. Kelley","",,"Gradient theory of optimal flight paths","1960","Ars Journal","30(10)","947-954","",""
"Bryson ’62","A. E. Bryson","",,"A Gradient Method for Optimizing Multi-stage Allocation Processes","1961","In Proc. Harvard Univ. Symposium on digital computers and their applications","Vol. 72","","",""
"Rumelhart ‘86","D. E. Rumelhart","G. E. Hinton; R. J. Williams",,"Learning Representations by BackPropagating Errors","1986","nature","323(6088)","533-536","",""
"Glorot ‘10","X. Glorot","Y. Bengio",,"Understanding the Difficulty of Training Deep Feedforward Neural Networks","2010","In Proceedings of the thirteenth international conference on artificial intelligence and statistics","","pp. 249-256","",""
"He ’15","K. He","X. Zhang; S. Ren; J. Sun",,"Delving Deep into Rectifiers: Surpassing Human-Level Performance on Imagenet Classification","2015","In Proceedings of the IEEE International Conference on Computer Vision","","pp. 1026-1034","",""
"Srivastava ‘14","N. Srivastava","G. Hinton; A. Krizhevsky; I. Sutskever; R. Salakhutdinov",,"Dropout: A Simple Way to Prevent Neural Networks from Overfitting","2014","The journal of machine learning research","15(1)","1929-1958","",""
"Gal ’16","Y. Gal","Z. Ghahramani",,"Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning","2016","In International Conference on Machine Learning","","pp. 1050-1059","",""
"Konečný ’16","J. Konečný","H. B. McMahan; F. X. Yu; P. Richtárik; A. T. Suresh; D. Bacon",,"Federated learning: Strategies for improving communication efficiency","2016","arXiv preprint","","arXiv:1610.05492","",""
"Warden ’19","P. Warden","D. Situnayake",,"TinyML: Machine learning with tensorflow lite on Arduino and ultra-low-power microcontrollers","2019","O'Reilly Media, Inc.","","","",""
"Huhel ‘59","DH Hubel","T. N. Wiesel",,"Receptive Fields of single Neurones in the Cat's Striate Cortex","1959","J. Physiol.","148 (3)","574–91","",""
"Fukushima ‘80","K. Fukushima","",,"Neocognitron: A Self-organizing Neural Network Model for a Mechanism of Pattern Recognition Unaffected by Shift in Position","1980","Biological Cybernetics","36 (4)","193–202","",""
"LeCun '89","Y. LeCun","B. Boser; J. S. Denker; D. Henderson; R. E. Howard; W. Hubbard; L. D. Jackel",,"Backpropagation Applied to Handwritten Zip Code Recognition","1989","","","","",""
"Deng ‘09","J. Deng","W. Dong; R. Socher; L. J. Li; K. Li; L. Fei-Fei",,"Imagenet: A large-scale hierarchical image database","2009","In 2009 IEEE conference on Computer Vision and Pattern Recognition","","pp. 248-255","",""
"Brown ’20","T. B. Brown","B. Mann; N. Ryder; M. Subbiah; J. Kaplan; P. Dhariwal; S. Agarwal",,"Language models are few-shot learners","2020","arXiv preprint","","arXiv:2005.14165","",""
"Hochreiter ‘97","S. Hochreiter","J. Schmidhuber",,"Long short-term memory","1997","Neural computation","9(8)","1735-1780","",""
"Greff ‘16","K. Greff","R. K. Srivastava; J. Koutník; B. R. Steunebrink; J. Schmidhuber",,"LSTM: A search space odyssey","2016","IEEE transactions on neural networks and learning systems","28(10)","2222-2232","",""
"Chung ‘14","J. Chung","C. Gulcehre; K. Cho; Y. Bengio",,"Empirical evaluation of gated recurrent neural networks on sequence modeling","2014","arXiv preprint","","arXiv:1412.3555","",""
"Karpathy ‘15","A. Karpathy","",,"The Unreasonable Effectiveness of Recurrent Neural Networks","2015","Andrej Karpathy blog","","21, 23","",""
"Dumoulin ’16","V. Dumoulin","F. Visin",,"A guide to convolution arithmetic for deep learning","2016","arXiv preprint","","arXiv:1603.07285","",""
"Chen ‘17","L. C. Chen","G. Papandreou; F. Schroff; H. Adam",,"Rethinking atrous convolution for semantic image segmentation","2017","arXiv preprint","","arXiv:1706.05587","",""
"Ramesh ’22","A. Ramesh","P. Dhariwal; A. Nichol; C. Chu; M. Chen",,"Hierarchical text-conditional image generation with clip latents","2022","arXiv preprint","","arXiv:2204.06125","",""
"Foster ‘19","D. Foster","",,"Generative deep learning: teaching machines to paint, write, compose, and play","2019","O'Reilly Media","","","",""
"Kohonen ‘82","T. Kohonen","",,"Self-organized formation of topologically correct feature maps","1982","Biological cybernetics","43(1)","59-69","",""
"Tian ‘14","J. Tian","M. H. Azarian; M. Pecht",,"Anomaly detection using self-organizing maps-based knearest neighbor algorithm","2014","In Proceedings of the European Conference of the Prognostics and Health Management Society","","pp. 1-9","Citeseer",""
"LeCun ‘06","Y. LeCun","S. Chopra; R. Hadsell; M. Ranzato; F. Huang",,"A tutorial on energy-based learning","2006","Predicting structured data","1(0)","","",""
"Ackley ‘85","D. H. Ackley","G. E. Hinton; T. J. Sejnowski",,"A learning algorithm for Boltzmann machines","1985","Cognitive science","9(1)","147-169","",""
"Gibbs ’02","J. W. Gibbs","",,"Elementary principles in statistical mechanics: developed with especial reference to the rational foundations of thermodynamics","1902","C. Scribner's Sons","","","",""
"Hinton ’02","G. E. Hinton","",,"Training products of experts by minimizing contrastive divergence","2002","Neural computation","14(8)","1771-1800","",""
"Hinton ‘95","G. E. Hinton","P. Dayan; B. J. Frey; R. M. Neal",,"The"" wake-sleep"" algorithm for unsupervised neural networks","1995","Science","268(5214)","1158-1161","",""
"Wang ‘17","H. Wang","B. Raj",,"On the Origin of Deep Learning","2017","arXiv preprint","","arXiv:1702.07800","",""
"Hopfield ‘82","J. J. Hopfield","",,"Neural Networks and Physical Systems with Emergent Collective Computational Abilities","1982","Proceedings of the national academy of sciences","79(8)","2554-2558","",""
"Bengio ’09","Y. Bengio","",,"Learning Deep Architectures for AI","2009","Now Publishers Inc.","","","",""
"Kingma ‘13","D. P. Kingma","M. Welling",,"Auto-encoding variational bayes","2013","arXiv preprint","","arXiv:1312.6114","",""
"Makhzani ‘13","A. Makhzani","B. Frey",,"K-sparse autoencoders","2013","arXiv preprint","","arXiv:1312.5663","",""
"Ng ‘11","A. Ng","",,"Sparse autoencoder","2011","CS294A Lecture notes","72 (2011)","1-19","",""
"Vincent ‘10","P. Vincent","H. Larochelle; I. Lajoie; Y. Bengio; P. A. Manzagol; L. Bottou",,"Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion","2010","Journal of machine learning research","11(12)","","",""
"Rifai ’11","S. Rifai","P. Vincent; X. Muller; X. Glorot; Y. Bengio",,"Contractive auto-encoders: Explicit invariance during feature extraction","2011","In International Conference of Machine Learning","","","",""
"Bengio ’07","Y. Bengio","P. Lamblin; D. Popovici; H. Larochelle",,"Greedy layer-wise training of deep networks","2006","Advances in neural information processing systems","19","","",""
"Hinton ’06","G. E. Hinton","R. R. Salakhutdinov",,"Reducing the dimensionality of data with neural networks","2006","science","313(5786)","504-507","",""
"Langr ‘19","J. Langr","V. Bok",,"GANs in action: deep learning with generative adversarial networks","2019","Manning Publications","","","",""
"Ramesh ‘21","A. Ramesh","M. Pavlov; G. Goh; S. Gray; C. Voss; A. Radford; I. Sutskever",,"Zero-shot text-to-image generation","2021","arXiv preprint","","arXiv:2102.12092","",""
"Ronneberger ’15","O. Ronneberger","P. Fischer; T. Brox",,"U-net: Convolutional networks for biomedical image segmentation","2015","In International Conference on Medical image computing and computer-assisted intervention","","pp. 234-241","",""
"Goodfellow ‘14","I. J. Goodfellow","J. Pouget-Abadie; M. Mirza; B. Xu; D. Warde-Farley; S. Ozair; A. Courville; Y. Bengio",,"Generative adversarial networks","2014","arXiv preprint","","arXiv:1406.2661","",""
"Niemitalo ‘11","O. Niemitalo","",,"A method for training artificial neural networks to generate missing data within a variable context","2010","Blog post, Internet Archive","","https://web.archive.org/web/20120312111546/http://yehar.com:80/blog/?p=167","",""
"Li ‘13","W. Li","M. Gauci; R. Groß",,"A coevolutionary approach to learn animal behavior through controlled interaction","2013","In Proceedings of the 15th annual conference on Genetic and Evolutionary Computation","","pp. 223-230","",""
"Karras ‘19","T. Karras","S. Laine; T. Aila",,"A style-based generator architecture for generative adversarial networks","2019","In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","pp. 4401-4410","",""
"Salimans ’16","T. Salimans","I. Goodfellow; W. Zaremba; V. Cheung; A. Radford; X. Chen",,"Improved Techniques for Training GANs","2016","arXiv preprint","","arXiv:1606.03498","",""
"Heusel ’17","M. Heusel","H. Ramsauer; T. Unterthiner; B. Nessler; S. Hochreiter",,"Gans trained by a two time-scale update rule converge to a local nash equilibrium","2017","arXiv","","arXiv:1706.08500","",""
"Szegedy ‘16","C. Szegedy","V. Vanhoucke; S. Ioffe; J. Shlens; Z. Wojna",,"Rethinking the inception architecture for computer vision","2016","Proceedings of the IEEE conference on computer vision and pattern recognition","","pp. 2818-2826","",""
"Mirza ‘14","M. Mirza","S. Osindero",,"Conditional generative adversarial nets","2014","arXiv","","arXiv:1411.1784","",""
"Rüschendorf ’85","L. Rüschendorf","",,"The Wasserstein distance and approximation theorems","1985","Probability Theory and Related Fields","70(1)","117-129","",""
"Gulrajani ’17","I. Gulrajani","F. Ahmed; M. Arjovsky; V. Dumoulin; A. Courville",,"Improved training of wasserstein gans","2017","arXiv","","arXiv:1704.00028","",""
"Isola ’17","P. Isola","J. Y. Zhu; T. Zhou; A. A. Efros",,"Image-to-image translation with conditional adversarial networks","2017","Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition","","pp. 1125-1134","",""
"Zhu ‘17","J. Y. Zhu","T. Park; P. Isola; A. A. Efros",,"Unpaired image-to-image translation using cycle-consistent adversarial networks","2017","Proceedings of the IEEE international conference on computer vision","","pp. 2223-2232","",""
"Karras ’20","T. Karras","S. Laine; M. Aittala; J. Hellsten; J. Lehtinen; T. Aila",,"Analyzing and improving the image quality of stylegan","2020","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","pp. 8110-8119","",""
"Huang ‘17","X. Huang","S. Belongie",,"Arbitrary style transfer in real-time with adaptive instance normalization","2017","Proceedings of the IEEE International Conference on Computer Vision","","pp. 1501-1510","",""
"Karras ‘17","T. Karras","T. Aila; S. Laine; J. Lehtinen",,"Progressive growing of gans for improved quality, stability, and variation","2017","arXiv","","arXiv:1710.10196","",""
"Karras ’21","T. Karras","M. Aittala; S. Laine; E. Härkönen; J. Hellsten; J. Lehtinen; T. Aila",,"Alias-Free Generative Adversarial Networks","2021","arXiv","","arXiv:2106.12423","",""
"Brownlee ‘19","J. Brownlee","",,"Generative Adversarial Networks with Python: Deep Learning Generative Models for Image Synthesis and Image Translation","2019","Machine Learning Mastery","","","",""
"Zakharov ‘19","E. Zakharov","A. Shysheya; E. Burkov; V. Lempitsky",,"Few-shot adversarial learning of realistic neural talking head models","2019","Proceedings of the IEEE/CVF International Conference on Computer Vision","","pp. 9459-9468","",""
"Bengio ‘13","Y. Bengio","A. Courville; P. Vincent",,"Representation learning: A review and new perspectives","2013","IEEE Transactions on Pattern Analysis and Machine Intelligence","35(8)","1798-1828","",""
"Le-Khac ‘20","P. H. Le-Khac","G. Healy; A. F. Smeaton",,"Contrastive representation learning: A framework and review","2020","IEEE Access","8","193907-193934","",""
"Bell ‘10","G. Bell","J. Gemmell",,"Your life, uploaded: The digital way to better memory, health, and productivity","2010","Penguin","","","",""
"Chen ’20 A","T. Chen","S. Kornblith; M. Norouzi; G. Hinton",,"A simple framework for contrastive learning of visual representations","2020","International conference on machine learning","","pp. 1597-1607","",""
"Chen ’20 B","T. Chen","S. Kornblith; K. Swersky; M. Norouzi; G. E. Hinton",,"Big self-supervised models are strong semi-supervised learners","2020","Advances in neural information processing systems","33","22243-22255","",""
"He ’20","K. He","H. Fan; Y. Wu; S. Xie; R. Girshick",,"Momentum contrast for unsupervised visual representation learning","2020","Proceedings of the IEEE/CVF conference on computer vision and pattern recognition","","pp. 9729-9738","",""
"Chen ’20 C","X. Chen","H. Fan; R. Girshick; K. He",,"Improved baselines with momentum contrastive learning","2020","arXiv","","arXiv:2003.04297","",""
"Chopra ’05","S. Chopra","R. Hadsell; Y. LeCun",,"Learning a Similarity Metric Discriminatively, with Application to Face Verification","2005","2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05)","Vol. 1","pp. 539-546","",""
"Schroff ’15","F. Schroff","D. Kalenichenko; J. Philbin",,"Facenet: A unified embedding for face recognition and clustering","2015","Proceedings of the IEEE conference on computer vision and pattern recognition","","pp. 815-823","",""
"Radford '21","A. Radford","J. W. Kim; C. Hallacy; A. Ramesh; G. Goh; S. Agarwal; I. Sutskever",,"Learning transferable visual models from natural language supervision","2021","International Conference on Machine Learning","","pp. 8748-8763","",""
"Crowson ’22","K. Crowson","S. Biderman; D. Kornis; D. Stander; E. Hallahan; L. Castricato; E. Raff",,"Vqgan-clip: Open domain image generation and editing with natural language guidance","2022","arXiv","","arXiv:2204.08583","",""
"Van Den Oord ’17","A. Van Den Oord","O. Vinyals",,"Neural discrete representation learning","2017","Advances in neural information processing systems","30","","",""
"Esser ’21","P. Esser","R. Rombach; B. Ommer",,"Taming transformers for high-resolution image synthesis","2021","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","pp. 12873-12883","",""
"Ramesh ’21","Aditya Ramesh","Mikhail Pavlov; Gabriel Goh; Scott Gray; Chelsea Voss; Alec Radford; Mark Chen; Ilya Sutskever",,"""Zero-shot text-to-image generation""","2021","International Conference on Machine Learning","","pp. 8821-8831","",""
"Maddison '16","C. J. Maddison","A. Mnih; Y. W. Teh",,"The concrete distribution: A continuous relaxation of discrete random variables","2016","arXiv","","arXiv:1611.00712","",""
"Jang ’16","E. Jang","S. Gu; B. Poole",,"Categorical reparameterization with gumbel-softmax","2016","arXiv","","arXiv:1611.01144","",""
"Bishop ’24","C. M. Bishop","H. Bishop",,"Deep learning: foundations and concepts","2024","Springer","","","",""
"Nichol ’21","A. Nichol","P. Dhariwal; A. Ramesh; P. Shyam; P. Mishkin; B. McGrew; M. Chen",,"Glide: Towards photorealistic image generation and editing with text-guided diffusion models","2021","arXiv","","arXiv:2112.10741","",""
"Rombach ’22","R. Rombach","A. Blattmann; D. Lorenz; P. Esser; B. Ommer",,"High-resolution image synthesis with latent diffusion models","2022","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","pp. 10684-10695","",""
"Zhang ’21","K. Zhang","J. Liang; L. Van Gool; R. Timofte",,"Designing a practical degradation model for deep blind image super-resolution","2021","Proceedings of the IEEE/CVF International Conference on Computer Vision","","pp. 4791-4800","",""
"Saharia ’22","C. Saharia","W. Chan; S. Saxena; L. Li; J. Whang; E. Denton; M. Norouzi",,"Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding","2022","arXiv","","arXiv:2205.11487","",""
"Yu ’22","J. Yu","Y. Xu; J. Y. Koh; T. Luong; G. Baid; Z. Wang; Y. Wu",,"Scaling Autoregressive Models for Content-Rich Text-to-Image Generation","2022","arXiv","","arXiv:2206.10789","",""
"Dhariwal ’21","P. Dhariwal","A. Nichol",,"Diffusion models beat GANs on image synthesis","2021","Advances in Neural Information Processing Systems","34","8780-8794","",""
"Yu ’21","J. Yu","X. Li; J. Y. Koh; H. Zhang; R. Pang; J. Qin; Y. Wu",,"Vector-quantized image modeling with improved VQGAN","2021","arXiv","","arXiv:2110.04627","",""
"Betker ’23","J. Betker","G. Goh; L. Jing; T. Brooks; J. Wang; L. Li; A. Ramesh",,"Improving image generation with better captions","2023","Computer Science","2(3)","8","https://cdn.openai.com/papers/dall-e-3.pdf",""
"Podell ’23","D. Podell","Z. English; K. Lacey; A. Blattmann; T. Dockhorn; J. Müller; R. Rombach",,"Sdxl: Improving latent diffusion models for high-resolution image synthesis","2023","arXiv","","arXiv:2307.01952","",""
"Zhu '23","Y. Zhu","J. Baca; B. Rekabdar; R. Rawassizadeh",,"A Survey of AI Music Generation Tools and Models","2023","arXiv","","arXiv:2308.12982","",""
"Singer ’22","U. Singer","A. Polyak; T. Hayes; X. Yin; J. An; S. Zhang; Y. Taigman",,"Make-a-video: Text-to-video generation without text-video data","2022","arXiv","","arXiv:2209.14792","",""
"Khachatryan ‘23","L. Khachatryan","A. Movsisyan; V. Tadevosyan; R. Henschel; Z. Wang; S. Navasardyan; H. Shi",,"Text2video-zero: Text-to-image diffusion models are zero-shot video generators","2023","Proceedings of the IEEE/CVF International Conference on Computer Vision","","pp. 15954-15964","",""
"Liu ’24","Y. Liu","K. Zhang; Y. Li; Z. Yan; C. Gao; R. Chen; L. Sun",,"Sora: A Review on Background, Technology, Limitations, and Opportunities of Large Vision Models","2024","arXiv","","arXiv:2402.17177","",""
"Kandala ’24","H. Kandala","J. Gao; J. Yang",,"Pix2Gif: Motion-Guided Diffusion for GIF Generation","2024","arXiv","","arXiv:2403.04634","",""
"Esser '24","P. Esser","S. Kulal; A. Blattmann; R. Entezari; J. Müller; H. Saini; R. Rombach",,"Scaling rectified flow transformers for high-resolution image synthesis","2024","arXiv","","arXiv:2403.03206","",""
"Sauer ’24","A. Sauer","F. Boesel; T. Dockhorn; A. Blattmann; P. Esser; R. Rombach",,"Fast High-Resolution Image Synthesis with Latent Adversarial Diffusion Distillation","2024","arXiv","","arXiv:2403.12015","",""
"Sutskever ’14","I. Sutskever","O. Vinyals; Q. V. Le",,"Sequence to sequence learning with neural networks","2014","Advances in neural information processing systems","","pp. 3104-3112","",""
"Cho ‘14","K. Cho","B. Van Merriënboer; C. Gulcehre; D. Bahdanau; F. Bougares; H. Schwenk; Y. Bengio",,"Learning phrase representations using RNN encoder-decoder for statistical machine translation","2014","arXiv","","arXiv:1406.1078","",""
"Bahdanau ’14","D. Bahdanau","K. Cho; Y. Bengio",,"Neural machine translation by jointly learning to align and translate","2014","arXiv","","arXiv:1409.0473","",""
"Luong ’15","M. T. Luong","H. Pham; C. D. Manning",,"Effective approaches to attention-based neural machine translation","2015","arXiv","","arXiv:1508.04025","",""
"Lin ’17","Z. Lin","M. Feng; C. N. D. Santos; M. Yu; B. Xiang; B. Zhou; Y. Bengio",,"A structured self-attentive sentence embedding","2017","arXiv","","arXiv:1703.03130","",""
"Vaswani ’17","A. Vaswani","N. Shazeer; N. Parmar; J. Uszkoreit; L. Jones; A. N. Gomez; I. Polosukhin",,"Attention is all you need","2017","Advances in neural information processing systems","","pp. 5998-6008","",""
"Peters ‘18","M. E. Peters","M. Neumann; M. Iyyer; M. Gardner; C. Clark; K. Lee; L. Zettlemoyer",,"Deep contextualized word representations","2018","arXiv","","arXiv:1802.05365","",""
"Howard ’18","J. Howard","S. Ruder",,"Universal language model fine-tuning for text classification","2018","arXiv","","arXiv:1801.06146","",""
"Lewis ’19","M. Lewis","Y. Liu; N. Goyal; M. Ghazvininejad; A. Mohamed; O. Levy; L. Zettlemoyer",,"Bart: Denoising sequence-to-sequence pre-training for natural language generation, translation, and comprehension","2019","arXiv","","arXiv:1910.13461","",""
"Gu ’23","A. Gu","T. Dao",,"Mamba: Linear-time sequence modeling with selective state spaces","2023","arXiv","","arXiv:2312.00752","",""
"Ramachandran ’17","P. Ramachandran","B. Zoph; Q. V. Le",,"Swish: a self-gated activation function","2017","arXiv","7(1)","5","",""
"Hendrycks ’16","D. Hendrycks","K. Gimpel",,"Gaussian Error Linear Units (GeLUs)","2016","arXiv","","arXiv:1606.08415","",""
"Li ’23","P. Li","J. Yang; M. A. Islam; S. Ren",,"Making ai less"" thirsty"": Uncovering and addressing the secret water footprint of AI models","2023","arXiv","","arXiv:2304.03271","",""
